ISSN,Título,Estrato,quadrienio
1517-2473,ESTUDOS INTERDISCIPLINARES SOBRE O ENVELHECIMENTO,A4,2021-2024
1517-6312,THEMA (PELOTAS),A2,2021-2024
1517-7076,MATÉRIA (UFRJ),B3,2021-2024
1517-9702,EDUCAÇÃO E PESQUISA (USP.IMPRESSO),A1,2021-2024
1518-2924,ENCONTROS BIBLI (ONLINE),A1,2021-2024
1518-3483,REVISTA DIÁLOGO EDUCACIONAL (PUCPR. IMPRESSO),A1,2021-2024
1518-7470,REVISTA MACKENZIE DE ENGENHARIA E COMPUTAÇÃO (IMPRESSO),B3,2021-2024
1518-8353,CIÊNCIA DA INFORMAÇÃO (ONLINE),A2,2021-2024
1518-8787,REVISTA DE SAÚDE PÚBLICA (ONLINE),A1,2021-2024
1519-132X,CADERNOS DE INFORMÁTICA (UFRGS),C,2021-2024
1519-8219,REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA,C,2021-2024
1519-8847,INTERAGIR (UERJ),B2,2021-2024
1520-6904,JOURNAL OF ORGANIC CHEMISTRY (ONLINE),A2,2021-2024
1520-9202,IT PROFESSIONAL,A4,2021-2024
1520-9210,IEEE TRANSACTIONS ON MULTIMEDIA,A1,2021-2024
1521-3951,"PHYSICA STATUS SOLIDI. B, BASIC RESEARCH (ONLINE)",B1,2021-2024
1521-6616,"CLINICAL IMMUNOLOGY (ORLANDO, FLA. PRINT)",A2,2021-2024
1521-9615,COMPUTING IN SCIENCE & ENGINEERING (PRINT),A3,2021-2024
1522-8835,JOURNAL OF TECHNOLOGY IN HUMAN SERVICES (PRINT),A2,2021-2024
1524-0703,GRAPHICAL MODELS (PRINT),A1,2021-2024
1524-9050,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS (PRINT),A1,2021-2024
1525-5050,EPILEPSY & BEHAVIOR (PRINT),A3,2021-2024
1525-8955,"IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL",A1,2021-2024
1526-1719,JOURNAL OF GRAPH ALGORITHMS AND APPLICATIONS,B1,2021-2024
1526-5471,MATHEMATICS OF OPERATIONS RESEARCH (ONLINE),A1,2021-2024
1526-5900,THE JOURNAL OF PAIN (PRINT),A2,2021-2024
1527-2648,ADVANCED ENGINEERING MATERIALS,A3,2021-2024
1529-3785,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,A2,2021-2024
1530-0315,MEDICINE & SCIENCE IN SPORTS & EXERCISE,A1,2021-2024
1530-437X,IEEE SENSORS JOURNAL,A1,2021-2024
1530-4388,IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,A3,2021-2024
1530-5627,TELEMEDICINE JOURNAL AND E-HEALTH,A1,2021-2024
1530-8677,WIRELESS COMMUNICATIONS AND MOBILE COMPUTING,C,2021-2024
1530-888X,NEURAL COMPUTATION (ONLINE),A1,2021-2024
1530-9304,EVOLUTIONARY COMPUTATION (ONLINE),A2,2021-2024
1530-9312,COMPUTATIONAL LINGUISTICS - ASSOCIATION FOR COMPUTATIONAL LINGUISTICS (ONLINE),A1,2021-2024
1531-3263,PRESENCE,B1,2021-2024
1531-3492,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS. SERIES B,A2,2021-2024
1531-5878,"CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING (ONLINE)",A3,2021-2024
1531-636X,"IEEE CIRCUITS AND SYSTEMS MAGAZINE (NEW YORK, N.Y. 2001: PRINT)",A2,2021-2024
1532-0464,JOURNAL OF BIOMEDICAL INFORMATICS,A2,2021-2024
1532-0626,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,A2,2021-2024
1532-0634,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,A2,2021-2024
1532-2092,EUROPACE (ONLINE) (LONDON),A1,2021-2024
1532-5008,ELECTRIC POWER COMPONENTS AND SYSTEMS,B1,2021-2024
1532-6349,STOCHASTIC MODELS,B2,2021-2024
1532-7590,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION (ONLINE),A1,2021-2024
1533-5399,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,A1,2021-2024
1533-7928,JOURNAL OF MACHINE LEARNING RESEARCH (ONLINE),A1,2021-2024
1535-3893,JOURNAL OF PROTEOME RESEARCH (PRINT),A2,2021-2024
1536-1276,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,A1,2021-2024
1536-1284,IEEE WIRELESS COMMUNICATIONS,A1,2021-2024
1537-5110,BIOSYSTEMS ENGINEERING,A1,2021-2024
1538-0254,JOURNAL OF BIOMOLECULAR STRUCTURE AND DYNAMICS,A2,2021-2024
1538-4632,GEOGRAPHICAL ANALYSIS,A3,2021-2024
1538-7836,JOURNAL OF THROMBOSIS AND HAEMOSTASIS,A1,2021-2024
1538-9774,"COMPUTERS, INFORMATICS, NURSING (ONLINE)",A3,2021-2024
1539-1523,JOURNAL OF RESEARCH ON TECHNOLOGY IN EDUCATION,A1,2021-2024
1539-2791,NEUROINFORMATICS,A3,2021-2024
1539-3100,INTERNATIONAL JOURNAL OF DISTANCE EDUCATION TECHNOLOGIES,A1,2021-2024
1539-3755,PHYSICAL REVIEW E,A2,2021-2024
1539-9087,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,A3,2021-2024
1540-496X,EMERGING MARKETS FINANCE AND TRADE,A1,2021-2024
1540-7993,IEEE SECURITY & PRIVACY,A1,2021-2024
1540-9589,JOURNAL OF WEB ENGINEERING,B2,2021-2024
1541-1389,PEER REVIEW,A4,2021-2024
1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,A4,2021-2024
1545-2263,STRUCTURAL CONTROL AND HEALTH MONITORING,A3,2021-2024
1545-5815,ACCOUNTABILITY IN RESEARCH,A2,2021-2024
1545-5955,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,A1,2021-2024
1545-5971,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,A1,2021-2024
1545-598X,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS (PRINT),A1,2021-2024
1545-9683,NEUROREHABILITATION AND NEURAL REPAIR,A1,2021-2024
1547-2450,JOURNAL OF INTELLIGENT TRANSPORTATION SYSTEMS,A1,2021-2024
1547-5816,JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,A4,2021-2024
1547-6286,RNA BIOLOGY,A3,2021-2024
1548-0992,REVISTA IEEE AMÉRICA LATINA,B1,2021-2024
1548-1115,INTERNATIONAL JOURNAL OF ENTERPRISE INFORMATION SYSTEMS,A3,2021-2024
1548-3886,INTERNATIONAL JOURNAL OF ELECTRONIC GOVERNMENT RESEARCH,A3,2021-2024
1548-7091,NATURE METHODS,A1,2021-2024
1549-3636,JOURNAL OF COMPUTER SCIENCES,B2,2021-2024
1549-7747,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS",A2,2021-2024
1549-8328,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (PRINT)",A2,2021-2024
1549-9596,JOURNAL OF CHEMICAL INFORMATION AND MODELING,A1,2021-2024
1549-9618,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,A1,2021-2024
1550-1876,INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION,A2,2021-2024
1550-4646,JOURNAL OF MOBILE MULTIMEDIA,A4,2021-2024
1550-4832,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,A3,2021-2024
1550-4859,ACM TRANSACTIONS ON SENSOR NETWORKS,A3,2021-2024
1551-0018,MATHEMATICAL BIOSCIENCES AND ENGINEERING (ONLINE),A3,2021-2024
1551-3203,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,A1,2021-2024
1551-3939,FOUNDATIONS AND TRENDS IN ELECTRONIC DESIGN AUTOMATION,C,2021-2024
1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,A1,2021-2024
1552-5260,ALZHEIMER'S & DEMENTIA,A1,2021-2024
1552-6283,INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS,A2,2021-2024
1552-6607,JOURNAL OF COMPUTER SCIENCE,B2,2021-2024
1553-3514,SURGICAL INNOVATION,A3,2021-2024
1553-7358,PLOS COMPUTATIONAL BIOLOGY (ONLINE),A1,2021-2024
1553-779X,INTERNATIONAL JOURNAL OF EMERGING ELECTRIC POWER SYSTEMS,A4,2021-2024
1553-877X,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,A1,2021-2024
1554-1010,JOURNAL OF INFORMATION ASSURANCE AND SECURITY,B4,2021-2024
1554-3528,BEHAVIOR RESEARCH METHODS,A1,2021-2024
1555-8584,RNA BIOLOGY,A3,2021-2024
1555-9041,CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,A1,2021-2024
1555-905X,CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY (ONLINE),A1,2021-2024
1556-4681,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,A2,2021-2024
1556-4959,JOURNAL OF FIELD ROBOTICS,A1,2021-2024
1556-5068,COMPARATIVE LAW EJOURNAL,A1,2021-2024
1556-6013,IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,A1,2021-2024
1556-7036,"ENERGY SOURCES. PART A, RECOVERY, UTILIZATION, AND ENVIRONMENTAL EFFECTS",A2,2021-2024
1557-1955,"PLASMONICS (NORWELL, MASS.)",A3,2021-2024
1557-8666,JOURNAL OF COMPUTATIONAL BIOLOGY,A3,2021-2024
1557-9611,IEEE TRANSACTIONS ON BROADCASTING (ONLINE),A2,2021-2024
1557-9956,IEEE TRANSACTIONS ON COMPUTERS,A2,2021-2024
1557-9964,IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,A1,2021-2024
1558-0571,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,A1,2021-2024
1558-0660,IEEE TRANSACTIONS ON MOBILE COMPUTING,A1,2021-2024
1558-0806,"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. I, REGULAR PAPERS (ONLINE)",A2,2021-2024
1558-1748,IEEE SENSORS JOURNAL,A1,2021-2024
1558-2183,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,A1,2021-2024
1558-2191,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,A1,2021-2024
1558-2558,IEEE COMMUNICATIONS LETTERS,A1,2021-2024
1559-1131,ACM TRANSACTIONS ON THE WEB,A3,2021-2024
1559-6915,APPLIED COMPUTING REVIEW,B4,2021-2024
1559-8608,JOURNAL OF STATISTICAL THEORY AND PRACTICE,B2,2021-2024
1560-4306,INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE IN EDUCATION,A1,2021-2024
1562-2479,INTERNATIONAL JOURNAL OF FUZZY SYSTEMS,A1,2021-2024
1563-5147,MATHEMATICAL PROBLEMS IN ENGINEERING (ONLINE),C,2021-2024
1566-113X,NETWORKS AND SPATIAL ECONOMICS,A4,2021-2024
1566-1199,ORGANIC ELECTRONICS (PRINT),A2,2021-2024
1566-2535,INFORMATION FUSION (PRINT),A1,2021-2024
1567-1348,"INFECTION, GENETICS AND EVOLUTION (PRINT)",A1,2021-2024
1567-1364,FEMS YEAST RESEARCH (ONLINE),A4,2021-2024
1567-4223,ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,A1,2021-2024
1567-7818,NATURAL COMPUTING,A4,2021-2024
1568-0266,CURRENT TOPICS IN MEDICINAL CHEMISTRY (PRINT),A3,2021-2024
1568-4946,APPLIED SOFT COMPUTING (PRINT),A1,2021-2024
1569-1101,GERONTECHNOLOGY (VALKENSWAARD. GEDRUKT),B2,2021-2024
1569-1551,JOURNAL OF DESIGN RESEARCH (ONLINE),B1,2021-2024
1569-190X,SIMULATION MODELLING PRACTICE AND THEORY,A1,2021-2024
1569-4410,PHOTONICS AND NANOSTRUCTURES (PRINT),A3,2021-2024
1569-8025,JOURNAL OF COMPUTATIONAL ELECTRONICS (PRINT),A3,2021-2024
1569-8432,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,A1,2021-2024
1570-0844,"SEMANTIC WEB: INTEROPERABILITY, USABILITY, APPLICABILITY",A2,2021-2024
1570-1255,INFORMATION POLITY,A3,2021-2024
1570-5838,APPLIED ONTOLOGY,A1,2021-2024
1570-7873,JOURNAL OF GRID COMPUTING,A2,2021-2024
1570-8268,JOURNAL OF WEB SEMANTICS,A3,2021-2024
1570-8705,AD HOC NETWORKS,A1,2021-2024
1570-9639,BIOCHIMICA ET BIOPHYSICA ACTA. PROTEINS AND PROTEOMICS,A2,2021-2024
1571-0645,PHYSICS OF LIFE REVIEWS (PRINT),A1,2021-2024
1572-1000,PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY (PRINT),A2,2021-2024
1572-5286,DISCRETE OPTIMIZATION,B1,2021-2024
1572-6657,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,A1,2021-2024
1572-8080,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS (DORDRECHT. ONLINE),B2,2021-2024
1572-8145,JOURNAL OF INTELLIGENT MANUFACTURING (DORDRECHT. ONLINE),A1,2021-2024
1572-817X,OPTICAL AND QUANTUM ELECTRONICS (DORDRECHT. ONLINE),A3,2021-2024
1572-8196,WIRELESS NETWORKS (ONLINE),A2,2021-2024
1572-834X,WIRELESS PERSONAL COMMUNICATIONS,A4,2021-2024
1572-8382,ARTIFICIAL INTELLIGENCE AND LAW (ONLINE),A1,2021-2024
1572-9001,STRUCTURAL CHEMISTRY (ONLINE),A4,2021-2024
1572-9192,JOURNAL OF ALGEBRAIC COMBINATORICS,A4,2021-2024
1572-9338,ANNALS OF OPERATIONS RESEARCH (DORDRECHT. ONLINE),A2,2021-2024
1572-9397,JOURNAL OF HEURISTICS (DORDRECHT. ONLINE),A2,2021-2024
1572-9451,TELECOMMUNICATION SYSTEMS,A4,2021-2024
1573-0409,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE),A2,2021-2024
1573-0484,THE JOURNAL OF SUPERCOMPUTING (DORDRECHT. ONLINE),A2,2021-2024
1573-0565,MACHINE LEARNING (DORDRECHT. ONLINE),A1,2021-2024
1573-062X,URBAN WATER JOURNAL,A2,2021-2024
1573-0727,JOURNAL OF ELECTRONIC TESTING (DORDRECHT. ONLINE),B2,2021-2024
1573-1332,QUANTUM INFORMATION PROCESSING (DORDRECHT. ONLINE),A2,2021-2024
1573-1367,SOFTWARE QUALITY JOURNAL (ONLINE),A3,2021-2024
1573-1375,STATISTICS AND COMPUTING (ONLINE),A2,2021-2024
1573-1383,REAL-TIME SYSTEMS (ONLINE),A4,2021-2024
1573-1472,BOUNDARY-LAYER METEOROLOGY (DORDRECHT. ONLINE),A2,2021-2024
1573-1979,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING (DORDRECHT. ONLINE),A4,2021-2024
1573-2878,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS (DORDRECHT. ONLINE),A2,2021-2024
1573-2886,JOURNAL OF COMBINATORIAL OPTIMIZATION (DORDRECHT. ONLINE),A3,2021-2024
1573-2894,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS (DORDRECHT. ONLINE),A2,2021-2024
1573-2959,ENVIRONMENTAL MONITORING AND ASSESSMENT (DORDRECHT. ONLINE),A2,2021-2024
1573-4064,MEDICINAL CHEMISTRY (HILVERSUM),B1,2021-2024
1573-4277,OPTICAL SWITCHING AND NETWORKING (PRINT),A3,2021-2024
1573-4935,BIOSCIENCE REPORTS,A2,2021-2024
1573-4951,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN (DORDRECHT. ONLINE),A2,2021-2024
1573-689X,JOURNAL OF MEDICAL SYSTEMS,A1,2021-2024
1573-7462,ARTIFICIAL INTELLIGENCE REVIEW (DORDRECHT. ONLINE),A1,2021-2024
1573-7497,APPLIED INTELLIGENCE (DORDRECHT. ONLINE),A3,2021-2024
1573-756X,DATA MINING AND KNOWLEDGE DISCOVERY (DORDRECHT. ONLINE),A1,2021-2024
1573-7616,EMPIRICAL SOFTWARE ENGINEERING (DORDRECHT. ONLINE),A2,2021-2024
1573-7624,GEOINFORMATICA (DORDRECHT. ONLINE),A2,2021-2024
1573-7675,JOURNAL OF INTELLIGENT INFORMATION SYSTEMS (DORDRECHT. ONLINE),A2,2021-2024
1573-7683,JOURNAL OF MATHEMATICAL IMAGING AND VISION (DORDRECHT. ONLINE),A1,2021-2024
1573-7705,JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT,A2,2021-2024
1573-7721,MULTIMEDIA TOOLS AND APPLICATIONS (DORDRECHT. ONLINE),A2,2021-2024
1573-773X,NEURAL PROCESSING LETTERS (ONLINE),A4,2021-2024
1574-0137,COMPUTER SCIENCE REVIEW,A1,2021-2024
1574-020X,LANGUAGE RESOURCES AND EVALUATION,A1,2021-2024
1574-1192,PERVASIVE AND MOBILE COMPUTING (PRINT),A2,2021-2024
1574-9541,ECOLOGICAL INFORMATICS (PRINT),A1,2021-2024
1579-1513,REEC. REVISTA ELECTRÓNICA DE ENSEÑANZA DE LAS CIENCIAS,A2,2021-2024
1582-7445,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING (PRINT),B2,2021-2024
1582-9596,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL (PRINT),B2,2021-2024
1588-2861,SCIENTOMETRICS (ONLINE),A1,2021-2024
1588-2926,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY (ONLINE),A1,2021-2024
1598-8198,"COMPUTERS AND CONCRETE, AN INTERNATIONAL JOURNAL (PRINT)",A1,2021-2024
1601-0825,ORAL DISEASES,A1,2021-2024
1609-0985,JOURNAL OF MEDICAL AND BIOLOGICAL ENGINEERING,A4,2021-2024
1609-4069,INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,A1,2021-2024
1610-2940,JOURNAL OF MOLECULAR MODELING (PRINT),A3,2021-2024
1612-1872,CHEMISTRY & BIODIVERSITY (PRINT),A4,2021-2024
1613-7159,PUBLIC TRANSPORT,A1,2021-2024
1614-2411,4OR - A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,A3,2021-2024
1614-5046,INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT),B1,2021-2024
1615-147X,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION (PRINT),A1,2021-2024
1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY (PRINT),A2,2021-2024
1615-5270,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,A2,2021-2024
1615-5289,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (PRINT),A3,2021-2024
1615-5297,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY (INTERNET),A3,2021-2024
1616-8658,FUZZY INFORMATION AND ENGINEERING,A3,2021-2024
1617-4615,MOLECULAR GENETICS AND GENOMICS (PRINT),A4,2021-2024
1617-4909,PERSONAL AND UBIQUITOUS COMPUTING (PRINT),A1,2021-2024
1618-727X,JOURNAL OF DIGITAL IMAGING (INTERNET),A2,2021-2024
1618-8667,URBAN FORESTRY & URBAN GREENING (PRINT),A1,2021-2024
1619-1366,SOFTWARE AND SYSTEMS MODELING,A2,2021-2024
1619-1374,SOFTWARE & SYSTEMS MODELING (ONLINE),A2,2021-2024
1622-468X,REVUE D'HISTOIRE DES SCIENCES HUMAINES,B1,2021-2024
1646-107X,MOTRICIDADE (SANTA MARIA DA FEIRA),B1,2021-2024
1646-2335,INTERACCOES,A3,2021-2024
1646-9895,RISTI (PORTO),A3,2021-2024
1647-0818,LINGUAMÁTICA,A2,2021-2024
1648-5831,INFORMATICS IN EDUCATION,A1,2021-2024
1657-5830,CONJECTURAS,C,2021-2024
1660-4601,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,C,2021-2024
1660-5446,MEDITERRANEAN JOURNAL OF MATHEMATICS (PRINT),A2,2021-2024
1661-8300,LOGICA UNIVERSALIS (ONLINE),A2,2021-2024
1662-453X,FRONTIERS IN NEUROSCIENCE,A3,2021-2024
1662-5145,FRONTIERS IN INTEGRATIVE NEUROSCIENCE,B1,2021-2024
1662-5161,FRONTIERS IN HUMAN NEUROSCIENCE,B1,2021-2024
1662-5188,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,C,2021-2024
1662-5196,FRONTIERS IN NEUROINFORMATICS,B1,2021-2024
1662-5218,FRONTIERS IN NEUROROBOTICS,B1,2021-2024
1662-9507,DEFECT AND DIFFUSION FORUM,B2,2021-2024
1662-9752,MATERIALS SCIENCE FORUM (ONLINE),B2,2021-2024
1663-3563,FRONTIERS IN SYNAPTIC NEUROSCIENCE,A3,2021-2024
1664-042X,FRONTIERS IN PHYSIOLOGY,A3,2021-2024
1664-0640,FRONTIERS IN PSYCHIATRY,A4,2021-2024
1664-1078,FRONTIERS IN PSYCHOLOGY,A2,2021-2024
1664-2295,FRONTIERS IN NEUROLOGY,A4,2021-2024
1664-302X,FRONTIERS IN MICROBIOLOGY (ONLINE),A3,2021-2024
1664-3224,FRONTIERS IN IMMUNOLOGY (ONLINE),A2,2021-2024
1664-462X,FRONTIERS IN PLANT SCIENCE,A1,2021-2024
1664-8021,FRONTIERS IN GENETICS,A4,2021-2024
1665-2681,ANNALS OF HEPATOLOGY,A2,2021-2024
1665-2703,REVISTA ETNOBIOLOGÍA,B1,2021-2024
1665-6423,JOURNAL OF APPLIED RESEARCH AND TECHNOLOGY,B2,2021-2024
1666-5112,CUADERNOS DEL CIMBAGE,C,2021-2024
1668-0227,CUADERNOS DEL CENTRO DE ESTUDIOS DE DISEÑO Y COMUNICACIÓN,A1,2021-2024
1674-7283,SCIENCE CHINA MATHEMATICS (PRINT),A1,2021-2024
1676-1790,ENGENHARIA TÉRMICA,B3,2021-2024
1676-2592,EDUCAÇÃO TEMÁTICA DIGITAL,A1,2021-2024
1676-2789,LEARNING AND NONLINEAR MODELS,B1,2021-2024
1676-4285,ONLINE BRAZILIAN JOURNAL OF NURSING,B1,2021-2024
1676-5451,SEMINA. CIÊNCIAS EXATAS E TECNOLÓGICAS (IMPRESSO),B3,2021-2024
1677-1893,PARTICIPAÇÃO (UNB),B3,2021-2024
1677-5090,REVISTA CIÊNCIAS MÉDICAS E BIOLÓGICAS,B1,2021-2024
1677-9479,REVISTA GESTÃO & TECNOLOGIA,A4,2021-2024
1677-9762,REVISTA GESTÃO E CONHECIMENTO,C,2021-2024
1678-0817,REVISTA FISIO&TERAPIA,C,2021-2024
1678-1244,CADERNOS DA FUCAMP,A3,2021-2024
1678-2690,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (ONLINE),A3,2021-2024
1678-4227,ARQUIVOS DE NEURO-PSIQUIATRIA,B2,2021-2024
1678-4324,BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE),A3,2021-2024
1678-4464,CADERNOS DE SAÚDE PÚBLICA,A1,2021-2024
1678-4561,CIÊNCIA & SAÚDE COLETIVA,A1,2021-2024
1678-4588,DADOS - REVISTA DE CIÊNCIAS SOCIAIS,A1,2021-2024
1678-4596,CIENCIA RURAL,A2,2021-2024
1678-460X,DELTA. DOCUMENTAÇÃO DE ESTUDOS EM LINGUÍSTICA TEÓRICA E APLICADA,A1,2021-2024
1678-4626,EDUCAÇÃO & SOCIEDADE,A1,2021-2024
1678-4634,EDUCAÇÃO E PESQUISA,A1,2021-2024
1678-4685,GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION),A3,2021-2024
1678-4804,JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (ONLINE),A3,2021-2024
1678-5142,PESQUISA OPERACIONAL (ONLINE),B3,2021-2024
1678-5878,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING (IMPRESSO),A3,2021-2024
1678-6971,RAM. REVISTA DE ADMINISTRAÇÃO MACKENZIE (ONLINE),A2,2021-2024
1678-7099,RB. RADIOLOGIA BRASILEIRA,A3,2021-2024
1678-7110,CADERNOS CEDES (ONLINE),A1,2021-2024
1678-7153,PSICOLOGIA: REFLEXÃO E CRÍTICA,A1,2021-2024
1678-8052,NEOTROPICAL ENTOMOLOGY,A3,2021-2024
1678-8621,AMBIENTE CONSTRUÍDO (ONLINE),A3,2021-2024
1678-9849,SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL. REVISTA,A4,2021-2024
1678-992X,SCIENTIA AGRICOLA,A1,2021-2024
1679-0375,SEMINA. CIÊNCIAS EXATAS E TECNOLÓGICAS (ONLINE),B3,2021-2024
1679-0731,REVISTA BRASILEIRA DE FINANÇAS,A4,2021-2024
1679-1827,GESTÃO.ORG,B1,2021-2024
1679-1916,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,A4,2021-2024
1679-3951,CADERNOS EBAPE. BR,A2,2021-2024
1679-4508,EINSTEIN (SÃO PAULO),A4,2021-2024
1679-4974,EPIDEMIOLOGIA E SERVICOS DE SAUDE,A2,2021-2024
1680-5348,REVISTA PANAMERICANA DE SALUD PUBLICA (PRINT),A1,2021-2024
1681-4835,THE ELECTRONIC JOURNAL OF INFORMATION SYSTEMS IN DEVELOPING COUNTRIES,A3,2021-2024
1683-1470,DATA SCIENCE JOURNAL,A2,2021-2024
1687-1499,EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING,A3,2021-2024
1687-4714,"EURASIP JOURNAL ON AUDIO, SPEECH AND MUSIC PROCESSING (PRINT)",A3,2021-2024
1687-5249,JOURNAL OF CONTROL SCIENCE AND ENGINEERING (PRINT),A3,2021-2024
1687-5265,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,C,2021-2024
1687-5281,EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING,A2,2021-2024
1687-5605,MODELLING AND SIMULATION IN ENGINEERING (ONLINE),C,2021-2024
1687-5893,ADVANCES IN HUMAN-COMPUTER INTERACTION,C,2021-2024
1687-6180,EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING (ONLINE),A3,2021-2024
1687-7047,INTERNATIONAL JOURNAL OF COMPUTER GAMES TECHNOLOGY,C,2021-2024
1687-8736,INTERNATIONAL JOURNAL OF DENTISTRY (ONLINE),A4,2021-2024
1687-9430,INTERNATIONAL JOURNAL OF POLYMER SCIENCE,A3,2021-2024
1688-4221,CIENCIAS PSICOLÓGICAS,A1,2021-2024
1688-7638,REVISTA CONTEMPORANEA,A1,2021-2024
1690-4524,"JOURNAL OF SYSTEMICS, CYBERNETICS AND INFORMATICS",A4,2021-2024
1695-288X,REVISTA LATINOAMERICANA DE TECNOLOGÍA EDUCATIVA,A2,2021-2024
1695-5498,HIPERTEXT.NET (BARCELONA),A1,2021-2024
1695-7121,PASOS. REVISTA DE TURISMO Y PATRIMONIO CULTURAL,A3,2021-2024
1696-8352,OBSERVATORIO DE LA ECONOMÍA LATINOAMERICANA,C,2021-2024
1699-5198,NUTRICIÓN HOSPITALARIA,B1,2021-2024
1715-0868,CONTRIBUTIONS TO DISCRETE MATHEMATICS,B1,2021-2024
1720-8386,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION (ONLINE),A2,2021-2024
1729-8814,INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,A3,2021-2024
